model|source|pk|prompt
gpt-4-turbo|normbank|01HJPMD5KHA2JT3DNJ9ZGVPBT8|sit by the fire
gpt-4-turbo|normbank|01HJPMD5KZF6C4XRS39KMXWK39|eat a messy food
gpt-4-turbo|normbank|01HJPMD5MPYGA2WHH82K2Z13S8|sit on the benches
gpt-4-turbo|normbank|01HJPMD5NCGGKXQKBETH76PPG0|kick the tires
gpt-4-turbo|social_iqa|01HJPMD5P22RRE0M3EH5SJKBAQ|Quinn sent Cameron flowers in an apology for what he did.
gpt-4-turbo|social_iqa|01HJPMD5PSHNB5P0R7RBAM8FDM|Bailey paid their cable bill but it was already beyond the past due date.
gpt-4-turbo|social_iqa|01HJPMD5QB241H5E90RDBJ3HEM|Sydney brought flowers into the field to set up the wedding spot for Tracy's wedding.
gpt-4-turbo|social_iqa|01HJPMD5QR8AFTP4S3AJGW69NZ|Ash let their friend off with a warning. It was clear it could not happen again.
gpt-4-turbo|social_chem|01HJPMD5REZ4XC3RM2GXQWWXD7|getting on the bus awkwardly
gpt-4-turbo|social_chem|01HJPMD5S5A2M9QDA5044PH435|I stopped denying I had a problem and enrolled into a facility.
gpt-4-turbo|social_chem|01HJPMD5SWAM82KEZJQXG77TZ6|thinking I made a girl self concious
gpt-4-turbo|normbank|01HJPQ334Y2Z7PP3P3SPFTGGCM|show off
gpt-4-turbo|normbank|01HJPQ335HRCMK86RZXX3245A3|leave food out in the open
gpt-4-turbo|normbank|01HJPQ3367R2437H6HPX2MJD76|sing along to the radio
gpt-4-turbo|normbank|01HJPQ336X745MQY1FH72DGSR4|use a keurig machine
gpt-4-turbo|normbank|01HJPQ337KACYQKFSZEKS9F3SS|pray or meditate
gpt-4-turbo|normbank|01HJPQ338A10FM1ZYE51ESZHX1|sleeping on the floor
gpt-4-turbo|normbank|01HJPQ338WE1Q8DBR98BH3YHVP|hang upside down
gpt-4-turbo|normbank|01HJPQ339JM832EQGBGG3QGX48|cage or pen the animals
gpt-4-turbo|normbank|01HJPQ33A91AZT5CSX4PFNRPKW|eat a donut
gpt-4-turbo|normbank|01HJPQ33B34Y6CZJC53AXYF1GN|use a power drill
gpt-4-turbo|normbank|01HJPQ33BTK92E00275JPTEXW3|judge someone's teeth
gpt-4-turbo|normbank|01HJPQ33CGAJ3VKRNHJVS6VJJZ|play volleyball
gpt-4-turbo|normbank|01HJPQ33D705RRB75Z0TDPQ3YS|hide under the bed
gpt-4-turbo|normbank|01HJPQ33DXMT762PFHK90FJDTJ|sell your textbooks
gpt-4-turbo|normbank|01HJPQ33EP6E678RH26Q0ZDS4Q|boo the rodeo clown
gpt-4-turbo|normbank|01HJPQ33FFAF1A8917QYFGG8S2|write down your score
